,assignments
SS2_15_0088-2:P7_unique.bam,mesenchyme
SS2_15_0088-2:P9_unique.bam,none
SS2_15_0088-2:P17_unique.bam,mesenchyme
SS2_15_0088-2:P21_unique.bam,mesenchyme
SS2_15_0088-2:P24_unique.bam,none
SS2_16_027:A5_unique.bam,none
SS2_16_027:A4_unique.bam,mesenchyme
SS2_16_027:A2_unique.bam,none
SS2_16_027:A1_unique.bam,none
SS2_16_027:A6_unique.bam,mesenchyme
SS2_16_027:A12_unique.bam,mesenchyme
SS2_16_027:A11_unique.bam,none
SS2_16_027:A10_unique.bam,none
SS2_16_027:A7_unique.bam,none
SS2_16_027:A13_unique.bam,none
SS2_16_027:A14_unique.bam,mesenchyme
SS2_16_027:A18_unique.bam,none
SS2_16_027:A20_unique.bam,none
SS2_16_027:A21_unique.bam,none
SS2_16_027:A22_unique.bam,mesenchyme
SS2_16_027:B2_unique.bam,mesenchyme
SS2_16_027:B1_unique.bam,none
SS2_16_027:B5_unique.bam,none
SS2_16_027:B4_unique.bam,none
SS2_16_027:B3_unique.bam,mesenchyme
SS2_16_027:B6_unique.bam,none
SS2_16_027:B7_unique.bam,mesenchyme
SS2_16_027:B9_unique.bam,none
SS2_16_027:B10_unique.bam,none
SS2_16_027:B11_unique.bam,mesenchyme
SS2_16_027:B12_unique.bam,none
SS2_16_027:B13_unique.bam,mesenchyme
SS2_16_027:B17_unique.bam,none
SS2_16_027:B16_unique.bam,none
SS2_16_027:B18_unique.bam,mesenchyme
SS2_16_027:B19_unique.bam,none
SS2_16_027:B20_unique.bam,none
SS2_16_027:B21_unique.bam,none
SS2_16_027:B22_unique.bam,mesenchyme
SS2_16_027:B23_unique.bam,mesenchyme
SS2_16_027:B24_unique.bam,none
SS2_16_027:C1_unique.bam,none
SS2_16_027:C3_unique.bam,mesenchyme
SS2_16_027:C4_unique.bam,mesenchyme
SS2_16_027:C5_unique.bam,mesenchyme
SS2_16_027:C6_unique.bam,none
SS2_16_027:C8_unique.bam,mesenchyme
SS2_16_027:C7_unique.bam,mesenchyme
SS2_16_027:C9_unique.bam,mesenchyme
SS2_16_027:C10_unique.bam,mesenchyme
SS2_16_027:C12_unique.bam,none
SS2_16_027:C14_unique.bam,none
SS2_16_027:C15_unique.bam,none
SS2_16_027:C16_unique.bam,none
SS2_16_027:C18_unique.bam,mesenchyme
SS2_16_027:C20_unique.bam,none
SS2_16_027:C21_unique.bam,mesenchyme
SS2_16_027:C22_unique.bam,none
SS2_16_027:C23_unique.bam,none
SS2_16_027:C24_unique.bam,mesenchyme
SS2_16_027:D1_unique.bam,none
SS2_16_027:D4_unique.bam,mesenchyme
SS2_16_027:D3_unique.bam,mesenchyme
SS2_16_027:D5_unique.bam,none
SS2_16_027:D6_unique.bam,none
SS2_16_027:D7_unique.bam,mesenchyme
SS2_16_027:D9_unique.bam,none
SS2_16_027:D10_unique.bam,none
SS2_16_027:D11_unique.bam,none
SS2_16_027:D12_unique.bam,mesenchyme
SS2_16_027:D14_unique.bam,mesenchyme
SS2_16_027:D15_unique.bam,none
SS2_16_027:D16_unique.bam,mesenchyme
SS2_16_027:D17_unique.bam,none
SS2_16_027:D18_unique.bam,none
SS2_16_027:D20_unique.bam,mesenchyme
SS2_16_027:D19_unique.bam,mesenchyme
SS2_16_027:D23_unique.bam,none
SS2_16_027:D22_unique.bam,none
SS2_16_027:D24_unique.bam,mesenchyme
SS2_16_027:E2_unique.bam,none
SS2_16_027:E4_unique.bam,none
SS2_16_027:E5_unique.bam,none
SS2_16_027:E6_unique.bam,none
SS2_16_027:E8_unique.bam,mesenchyme
SS2_16_027:E7_unique.bam,none
SS2_16_027:E9_unique.bam,none
SS2_16_027:E11_unique.bam,none
SS2_16_027:E12_unique.bam,mesenchyme
SS2_16_027:E13_unique.bam,none
SS2_16_027:E14_unique.bam,none
SS2_16_027:E17_unique.bam,mesenchyme
SS2_16_027:E16_unique.bam,mesenchyme
SS2_16_027:E18_unique.bam,mesenchyme
SS2_16_027:E20_unique.bam,none
SS2_16_027:E19_unique.bam,none
SS2_16_027:E22_unique.bam,mesenchyme
SS2_16_027:E23_unique.bam,none
SS2_16_027:E24_unique.bam,mesenchyme
SS2_16_027:F2_unique.bam,none
SS2_16_027:F3_unique.bam,none
SS2_16_027:F4_unique.bam,none
SS2_16_027:F6_unique.bam,mesenchyme
SS2_16_027:F5_unique.bam,none
SS2_16_027:F8_unique.bam,none
SS2_16_027:F7_unique.bam,none
SS2_16_027:F9_unique.bam,none
SS2_16_027:F10_unique.bam,mesenchyme
SS2_16_027:F11_unique.bam,none
SS2_16_027:F12_unique.bam,none
SS2_16_027:F13_unique.bam,none
SS2_16_027:F15_unique.bam,none
SS2_16_027:F17_unique.bam,none
SS2_16_027:F18_unique.bam,none
SS2_16_027:F16_unique.bam,none
SS2_16_027:F20_unique.bam,none
SS2_16_027:F21_unique.bam,none
SS2_16_027:F23_unique.bam,mesenchyme
SS2_16_027:F24_unique.bam,none
SS2_16_027:G3_unique.bam,none
SS2_16_027:G4_unique.bam,none
SS2_16_027:G6_unique.bam,mesenchyme
SS2_16_027:G7_unique.bam,none
SS2_16_027:G8_unique.bam,mesenchyme
SS2_16_027:G9_unique.bam,none
SS2_16_027:G11_unique.bam,mesenchyme
SS2_16_027:G10_unique.bam,none
SS2_16_027:G12_unique.bam,mesenchyme
SS2_16_027:G13_unique.bam,none
SS2_16_027:G14_unique.bam,none
SS2_16_027:G18_unique.bam,none
SS2_16_027:G17_unique.bam,mesenchyme
SS2_16_027:G20_unique.bam,none
SS2_16_027:G19_unique.bam,mesenchyme
SS2_16_027:G21_unique.bam,none
SS2_16_027:G24_unique.bam,none
SS2_16_027:H2_unique.bam,mesenchyme
SS2_16_027:H3_unique.bam,none
SS2_16_027:H7_unique.bam,none
SS2_16_027:H8_unique.bam,mesenchyme
SS2_16_027:H9_unique.bam,mesenchyme
SS2_16_027:H10_unique.bam,mesenchyme
SS2_16_027:H11_unique.bam,none
SS2_16_027:H14_unique.bam,none
SS2_16_027:H16_unique.bam,none
SS2_16_027:H15_unique.bam,mesenchyme
SS2_16_027:H17_unique.bam,mesenchyme
SS2_16_027:H18_unique.bam,none
SS2_16_027:H20_unique.bam,mesenchyme
SS2_16_027:H19_unique.bam,neural crest
SS2_16_027:H22_unique.bam,none
SS2_16_027:I1_unique.bam,none
SS2_16_027:I3_unique.bam,none
SS2_16_027:I4_unique.bam,mesenchyme
SS2_16_027:I5_unique.bam,none
SS2_16_027:I6_unique.bam,mesenchyme
SS2_16_027:I8_unique.bam,mesenchyme
SS2_16_027:I11_unique.bam,none
SS2_16_027:I12_unique.bam,none
SS2_16_027:I14_unique.bam,none
SS2_16_027:I15_unique.bam,none
SS2_16_027:I16_unique.bam,mesenchyme
SS2_16_027:I17_unique.bam,mesenchyme
SS2_16_027:I18_unique.bam,none
SS2_16_027:I19_unique.bam,none
SS2_16_027:I21_unique.bam,mesenchyme
SS2_16_027:I22_unique.bam,none
SS2_16_027:I24_unique.bam,mesenchyme
SS2_16_027:J2_unique.bam,none
SS2_16_027:J1_unique.bam,mesenchyme
SS2_16_027:J3_unique.bam,none
SS2_16_027:J6_unique.bam,mesenchyme
SS2_16_027:J5_unique.bam,none
SS2_16_027:J8_unique.bam,mesenchyme
SS2_16_027:J9_unique.bam,none
SS2_16_027:J10_unique.bam,none
SS2_16_027:J12_unique.bam,mesenchyme
SS2_16_027:J14_unique.bam,mesenchyme
SS2_16_027:J15_unique.bam,none
SS2_16_027:J16_unique.bam,none
SS2_16_027:J17_unique.bam,none
SS2_16_027:J19_unique.bam,none
SS2_16_027:J20_unique.bam,none
SS2_16_027:J21_unique.bam,mesenchyme
SS2_16_027:J22_unique.bam,none
SS2_16_027:J23_unique.bam,mesenchyme
SS2_16_027:K2_unique.bam,none
SS2_16_027:K4_unique.bam,none
SS2_16_027:K3_unique.bam,none
SS2_16_027:K5_unique.bam,mesenchyme
SS2_16_027:K6_unique.bam,none
SS2_16_027:K8_unique.bam,mesenchyme
SS2_16_027:K7_unique.bam,mesenchyme
SS2_16_027:K10_unique.bam,mesenchyme
SS2_16_027:K12_unique.bam,mesenchyme
SS2_16_027:K11_unique.bam,mesenchyme
SS2_16_027:K13_unique.bam,mesenchyme
SS2_16_027:K16_unique.bam,mesenchyme
SS2_16_027:K15_unique.bam,none
SS2_16_027:K17_unique.bam,none
SS2_16_027:K18_unique.bam,mesenchyme
SS2_16_027:K19_unique.bam,none
SS2_16_027:K20_unique.bam,mesenchyme
SS2_16_027:K21_unique.bam,none
SS2_16_027:K22_unique.bam,none
SS2_16_027:K23_unique.bam,mesenchyme
SS2_16_027:L2_unique.bam,none
SS2_16_027:L3_unique.bam,mesenchyme
SS2_16_027:L4_unique.bam,none
SS2_16_027:L5_unique.bam,none
SS2_16_027:L6_unique.bam,none
SS2_16_027:L8_unique.bam,none
SS2_16_027:L9_unique.bam,none
SS2_16_027:L10_unique.bam,neural crest
SS2_16_027:L11_unique.bam,mesenchyme
SS2_16_027:L12_unique.bam,none
SS2_16_027:L13_unique.bam,none
SS2_16_027:L14_unique.bam,none
SS2_16_027:L15_unique.bam,none
SS2_16_027:L16_unique.bam,none
SS2_16_027:L17_unique.bam,mesenchyme
SS2_16_027:L18_unique.bam,none
SS2_16_027:L21_unique.bam,mesenchyme
SS2_16_027:L20_unique.bam,none
SS2_16_027:L22_unique.bam,mesenchyme
SS2_16_027:L23_unique.bam,none
SS2_16_027:L24_unique.bam,mesenchyme
SS2_16_027:M1_unique.bam,mesenchyme
SS2_16_027:M4_unique.bam,none
SS2_16_027:M6_unique.bam,none
SS2_16_027:M5_unique.bam,none
SS2_16_027:M9_unique.bam,mesenchyme
SS2_16_027:M7_unique.bam,none
SS2_16_027:M11_unique.bam,none
SS2_16_027:M13_unique.bam,mesenchyme
SS2_16_027:M12_unique.bam,mesenchyme
SS2_16_027:M14_unique.bam,mesenchyme
SS2_16_027:M15_unique.bam,mesenchyme
SS2_16_027:M16_unique.bam,mesenchyme
SS2_16_027:M17_unique.bam,mesenchyme
SS2_16_027:M18_unique.bam,none
SS2_16_027:M20_unique.bam,mesenchyme
SS2_16_027:M21_unique.bam,none
SS2_16_027:M24_unique.bam,mesenchyme
SS2_16_027:N1_unique.bam,mesenchyme
SS2_16_027:N2_unique.bam,mesenchyme
SS2_16_027:N3_unique.bam,none
SS2_16_027:N4_unique.bam,none
SS2_16_027:N5_unique.bam,mesenchyme
SS2_16_027:N8_unique.bam,mesenchyme
SS2_16_027:N10_unique.bam,mesenchyme
SS2_16_027:N11_unique.bam,none
SS2_16_027:N12_unique.bam,none
SS2_16_027:N14_unique.bam,none
SS2_16_027:N16_unique.bam,mesenchyme
SS2_16_027:N17_unique.bam,mesenchyme
SS2_16_027:N18_unique.bam,none
SS2_16_027:N19_unique.bam,none
SS2_16_027:N20_unique.bam,mesenchyme
SS2_16_027:N21_unique.bam,mesenchyme
SS2_16_027:N22_unique.bam,none
SS2_16_027:N23_unique.bam,none
SS2_16_027:N24_unique.bam,mesenchyme
SS2_16_027:O3_unique.bam,none
SS2_16_027:O6_unique.bam,none
SS2_16_027:O9_unique.bam,none
SS2_16_027:O10_unique.bam,mesenchyme
SS2_16_027:O11_unique.bam,none
SS2_16_027:O12_unique.bam,mesenchyme
SS2_16_027:O13_unique.bam,mesenchyme
SS2_16_027:O15_unique.bam,none
SS2_16_027:O17_unique.bam,mesenchyme
SS2_16_027:O18_unique.bam,mesenchyme
SS2_16_027:O19_unique.bam,mesenchyme
SS2_16_027:O21_unique.bam,none
SS2_16_027:O20_unique.bam,mesenchyme
SS2_16_027:O22_unique.bam,none
SS2_16_027:O23_unique.bam,mesenchyme
SS2_16_027:P1_unique.bam,none
SS2_16_027:P8_unique.bam,none
SS2_16_027:P6_unique.bam,mesenchyme
SS2_16_027:P9_unique.bam,mesenchyme
SS2_16_027:P10_unique.bam,none
SS2_16_027:P11_unique.bam,mesenchyme
SS2_16_027:P12_unique.bam,none
SS2_16_027:P15_unique.bam,none
SS2_16_027:P14_unique.bam,mesenchyme
SS2_16_027:P16_unique.bam,none
SS2_16_027:P17_unique.bam,mesenchyme
SS2_16_027:P18_unique.bam,none
SS2_16_027:P20_unique.bam,none
SS2_16_027:P21_unique.bam,none
SS2_16_027:P19_unique.bam,none
SS2_16_027:P22_unique.bam,mesenchyme
SS2_16_027:P24_unique.bam,none
SS2_16_032:A5_unique.bam,mesenchyme
SS2_16_032:A4_unique.bam,none
SS2_16_032:A2_unique.bam,none
SS2_16_032:A6_unique.bam,none
SS2_16_032:A1_unique.bam,none
SS2_16_032:A7_unique.bam,none
SS2_16_032:A8_unique.bam,none
SS2_16_032:A11_unique.bam,none
SS2_16_032:A12_unique.bam,mesenchyme
SS2_16_032:A10_unique.bam,none
SS2_16_032:A13_unique.bam,none
SS2_16_032:A14_unique.bam,mesenchyme
SS2_16_032:A18_unique.bam,none
SS2_16_032:A20_unique.bam,none
SS2_16_032:A21_unique.bam,none
SS2_16_032:A22_unique.bam,none
SS2_16_032:A24_unique.bam,none
SS2_16_032:B2_unique.bam,mesenchyme
SS2_16_032:B1_unique.bam,none
SS2_16_032:B3_unique.bam,none
SS2_16_032:B4_unique.bam,none
SS2_16_032:B5_unique.bam,none
SS2_16_032:B6_unique.bam,none
SS2_16_032:B7_unique.bam,mesenchyme
SS2_16_032:B9_unique.bam,none
SS2_16_032:B11_unique.bam,mesenchyme
SS2_16_032:B12_unique.bam,none
SS2_16_032:B13_unique.bam,mesenchyme
SS2_16_032:B16_unique.bam,none
SS2_16_032:B17_unique.bam,none
SS2_16_032:B18_unique.bam,mesenchyme
SS2_16_032:B21_unique.bam,none
SS2_16_032:B19_unique.bam,none
SS2_16_032:B20_unique.bam,mesenchyme
SS2_16_032:B23_unique.bam,none
SS2_16_032:B22_unique.bam,mesenchyme
SS2_16_032:B24_unique.bam,none
SS2_16_032:C3_unique.bam,mesenchyme
SS2_16_032:C4_unique.bam,mesenchyme
SS2_16_032:C5_unique.bam,mesenchyme
SS2_16_032:C8_unique.bam,mesenchyme
SS2_16_032:C9_unique.bam,none
SS2_16_032:C6_unique.bam,mesenchyme
SS2_16_032:C10_unique.bam,none
SS2_16_032:C12_unique.bam,none
SS2_16_032:C15_unique.bam,none
SS2_16_032:C14_unique.bam,none
SS2_16_032:C16_unique.bam,neural crest
SS2_16_032:C18_unique.bam,none
SS2_16_032:C20_unique.bam,none
SS2_16_032:C21_unique.bam,mesenchyme
SS2_16_032:C22_unique.bam,none
SS2_16_032:C23_unique.bam,none
SS2_16_032:C24_unique.bam,none
SS2_16_032:D1_unique.bam,mesenchyme
SS2_16_032:D3_unique.bam,mesenchyme
SS2_16_032:D4_unique.bam,none
SS2_16_032:D5_unique.bam,none
SS2_16_032:D6_unique.bam,mesenchyme
SS2_16_032:D7_unique.bam,mesenchyme
SS2_16_032:D10_unique.bam,none
SS2_16_032:D9_unique.bam,none
SS2_16_032:D11_unique.bam,none
SS2_16_032:D12_unique.bam,none
SS2_16_032:D14_unique.bam,mesenchyme
SS2_16_032:D15_unique.bam,none
SS2_16_032:D16_unique.bam,none
SS2_16_032:D17_unique.bam,none
SS2_16_032:D18_unique.bam,none
SS2_16_032:D20_unique.bam,none
SS2_16_032:D19_unique.bam,none
SS2_16_032:D22_unique.bam,none
SS2_16_032:D23_unique.bam,none
SS2_16_032:D24_unique.bam,none
SS2_16_032:E2_unique.bam,none
SS2_16_032:E4_unique.bam,none
SS2_16_032:E5_unique.bam,none
SS2_16_032:E6_unique.bam,none
SS2_16_032:E7_unique.bam,none
SS2_16_032:E8_unique.bam,none
SS2_16_032:E9_unique.bam,none
SS2_16_032:E11_unique.bam,none
SS2_16_032:E12_unique.bam,mesenchyme
SS2_16_032:E13_unique.bam,none
SS2_16_032:E14_unique.bam,none
SS2_16_032:E16_unique.bam,none
SS2_16_032:E17_unique.bam,none
SS2_16_032:E18_unique.bam,none
SS2_16_032:E19_unique.bam,none
SS2_16_032:E20_unique.bam,none
SS2_16_032:E22_unique.bam,mesenchyme
SS2_16_032:E23_unique.bam,none
SS2_16_032:E24_unique.bam,none
SS2_16_032:F2_unique.bam,none
SS2_16_032:F3_unique.bam,none
SS2_16_032:F4_unique.bam,none
SS2_16_032:F5_unique.bam,none
SS2_16_032:F6_unique.bam,mesenchyme
SS2_16_032:F7_unique.bam,none
SS2_16_032:F9_unique.bam,none
SS2_16_032:F10_unique.bam,none
SS2_16_032:F11_unique.bam,none
SS2_16_032:F12_unique.bam,none
SS2_16_032:F14_unique.bam,none
SS2_16_032:F13_unique.bam,none
SS2_16_032:F15_unique.bam,none
SS2_16_032:F16_unique.bam,none
SS2_16_032:F17_unique.bam,none
SS2_16_032:F18_unique.bam,none
SS2_16_032:F20_unique.bam,none
SS2_16_032:F21_unique.bam,none
SS2_16_032:F23_unique.bam,none
SS2_16_032:F24_unique.bam,none
SS2_16_032:G3_unique.bam,none
SS2_16_032:G4_unique.bam,none
SS2_16_032:G6_unique.bam,mesenchyme
SS2_16_032:G8_unique.bam,mesenchyme
SS2_16_032:G7_unique.bam,none
SS2_16_032:G10_unique.bam,none
SS2_16_032:G9_unique.bam,mesenchyme
SS2_16_032:G11_unique.bam,none
SS2_16_032:G14_unique.bam,none
SS2_16_032:G12_unique.bam,none
SS2_16_032:G13_unique.bam,none
SS2_16_032:G15_unique.bam,none
SS2_16_032:G17_unique.bam,none
SS2_16_032:G18_unique.bam,none
SS2_16_032:G19_unique.bam,mesenchyme
SS2_16_032:G20_unique.bam,none
SS2_16_032:G21_unique.bam,none
SS2_16_032:G24_unique.bam,none
SS2_16_032:H2_unique.bam,none
SS2_16_032:H7_unique.bam,none
SS2_16_032:H8_unique.bam,none
SS2_16_032:H10_unique.bam,none
SS2_16_032:H11_unique.bam,none
SS2_16_032:H14_unique.bam,none
SS2_16_032:H15_unique.bam,mesenchyme
SS2_16_032:H16_unique.bam,none
SS2_16_032:H17_unique.bam,mesenchyme
SS2_16_032:H18_unique.bam,none
SS2_16_032:H19_unique.bam,neural crest
SS2_16_032:H20_unique.bam,mesenchyme
SS2_16_032:H22_unique.bam,none
SS2_16_032:I3_unique.bam,none
SS2_16_032:I4_unique.bam,none
SS2_16_032:I5_unique.bam,none
SS2_16_032:I6_unique.bam,none
SS2_16_032:I8_unique.bam,mesenchyme
SS2_16_032:I7_unique.bam,mesenchyme
SS2_16_032:I11_unique.bam,none
SS2_16_032:I12_unique.bam,none
SS2_16_032:I14_unique.bam,none
SS2_16_032:I15_unique.bam,none
SS2_16_032:I16_unique.bam,none
SS2_16_032:I17_unique.bam,none
SS2_16_032:I19_unique.bam,none
SS2_16_032:I18_unique.bam,none
SS2_16_032:I21_unique.bam,mesenchyme
SS2_16_032:I22_unique.bam,none
SS2_16_032:I24_unique.bam,none
SS2_16_032:J2_unique.bam,mesenchyme
SS2_16_032:J3_unique.bam,none
SS2_16_032:J1_unique.bam,none
SS2_16_032:J4_unique.bam,none
SS2_16_032:J5_unique.bam,none
SS2_16_032:J6_unique.bam,none
SS2_16_032:J9_unique.bam,none
SS2_16_032:J8_unique.bam,none
SS2_16_032:J10_unique.bam,none
SS2_16_032:J12_unique.bam,none
SS2_16_032:J14_unique.bam,none
SS2_16_032:J15_unique.bam,mesenchyme
SS2_16_032:J17_unique.bam,none
SS2_16_032:J19_unique.bam,none
SS2_16_032:J20_unique.bam,none
SS2_16_032:J21_unique.bam,none
SS2_16_032:J22_unique.bam,none
SS2_16_032:J23_unique.bam,none
SS2_16_032:J24_unique.bam,none
SS2_16_032:K2_unique.bam,none
SS2_16_032:K3_unique.bam,none
SS2_16_032:K4_unique.bam,none
SS2_16_032:K5_unique.bam,none
SS2_16_032:K6_unique.bam,none
SS2_16_032:K7_unique.bam,none
SS2_16_032:K8_unique.bam,none
SS2_16_032:K10_unique.bam,mesenchyme
SS2_16_032:K12_unique.bam,none
SS2_16_032:K13_unique.bam,mesenchyme
SS2_16_032:K15_unique.bam,none
SS2_16_032:K16_unique.bam,mesenchyme
SS2_16_032:K17_unique.bam,none
SS2_16_032:K18_unique.bam,none
SS2_16_032:K19_unique.bam,none
SS2_16_032:K20_unique.bam,mesenchyme
SS2_16_032:K21_unique.bam,none
SS2_16_032:K22_unique.bam,none
SS2_16_032:K23_unique.bam,mesenchyme
SS2_16_032:L2_unique.bam,none
SS2_16_032:L4_unique.bam,none
SS2_16_032:L5_unique.bam,none
SS2_16_032:L6_unique.bam,none
SS2_16_032:L9_unique.bam,none
SS2_16_032:L8_unique.bam,none
SS2_16_032:L10_unique.bam,none
SS2_16_032:L11_unique.bam,none
SS2_16_032:L12_unique.bam,none
SS2_16_032:L13_unique.bam,none
SS2_16_032:L14_unique.bam,none
SS2_16_032:L15_unique.bam,none
SS2_16_032:L16_unique.bam,mesenchyme
SS2_16_032:L17_unique.bam,none
SS2_16_032:L18_unique.bam,none
SS2_16_032:L20_unique.bam,none
SS2_16_032:L21_unique.bam,mesenchyme
SS2_16_032:L22_unique.bam,mesenchyme
SS2_16_032:L23_unique.bam,none
SS2_16_032:L24_unique.bam,none
SS2_16_032:M1_unique.bam,none
SS2_16_032:M3_unique.bam,none
SS2_16_032:M4_unique.bam,none
SS2_16_032:M5_unique.bam,none
SS2_16_032:M6_unique.bam,none
SS2_16_032:M7_unique.bam,none
SS2_16_032:M9_unique.bam,mesenchyme
SS2_16_032:M10_unique.bam,none
SS2_16_032:M11_unique.bam,mesenchyme
SS2_16_032:M12_unique.bam,mesenchyme
SS2_16_032:M13_unique.bam,mesenchyme
SS2_16_032:M14_unique.bam,mesenchyme
SS2_16_032:M15_unique.bam,none
SS2_16_032:M16_unique.bam,mesenchyme
SS2_16_032:M18_unique.bam,none
SS2_16_032:M20_unique.bam,mesenchyme
SS2_16_032:M21_unique.bam,none
SS2_16_032:M23_unique.bam,none
SS2_16_032:N1_unique.bam,mesenchyme
SS2_16_032:M24_unique.bam,mesenchyme
SS2_16_032:N2_unique.bam,none
SS2_16_032:N3_unique.bam,none
SS2_16_032:N5_unique.bam,none
SS2_16_032:N9_unique.bam,mesenchyme
SS2_16_032:N10_unique.bam,none
SS2_16_032:N11_unique.bam,none
SS2_16_032:N13_unique.bam,none
SS2_16_032:N14_unique.bam,none
SS2_16_032:N16_unique.bam,none
SS2_16_032:N18_unique.bam,none
SS2_16_032:N20_unique.bam,none
SS2_16_032:N19_unique.bam,none
SS2_16_032:N21_unique.bam,mesenchyme
SS2_16_032:N22_unique.bam,none
SS2_16_032:N23_unique.bam,none
SS2_16_032:N24_unique.bam,none
SS2_16_032:O6_unique.bam,none
SS2_16_032:O9_unique.bam,none
SS2_16_032:O11_unique.bam,none
SS2_16_032:O12_unique.bam,mesenchyme
SS2_16_032:O13_unique.bam,mesenchyme
SS2_16_032:O15_unique.bam,mesenchyme
SS2_16_032:O17_unique.bam,mesenchyme
SS2_16_032:O18_unique.bam,none
SS2_16_032:O19_unique.bam,mesenchyme
SS2_16_032:O20_unique.bam,mesenchyme
SS2_16_032:O21_unique.bam,none
SS2_16_032:O22_unique.bam,none
SS2_16_032:O24_unique.bam,none
SS2_16_032:P6_unique.bam,none
SS2_16_032:P11_unique.bam,none
SS2_16_032:P10_unique.bam,none
SS2_16_032:P12_unique.bam,none
SS2_16_032:P14_unique.bam,mesenchyme
SS2_16_032:P15_unique.bam,none
SS2_16_032:P17_unique.bam,mesenchyme
SS2_16_032:P16_unique.bam,none
SS2_16_032:P19_unique.bam,none
SS2_16_032:P20_unique.bam,none
SS2_16_032:P21_unique.bam,none
SS2_16_032:P22_unique.bam,none
SS2_16_032:P24_unique.bam,none
SS2_15_0170:A6_unique.bam,Hub
SS2_15_0170:A2_unique.bam,Hub
SS2_15_0170:A8_unique.bam,Hub
SS2_15_0170:A1_unique.bam,ChC
SS2_15_0170:A7_unique.bam,Hub
SS2_15_0170:A5_unique.bam,Hub
SS2_15_0170:A3_unique.bam,Hub
SS2_15_0170:A9_unique.bam,Hub
SS2_15_0170:A4_unique.bam,Hub
SS2_15_0170:A10_unique.bam,Hub
SS2_15_0170:A11_unique.bam,Hub
SS2_15_0170:A12_unique.bam,Hub
SS2_15_0170:A13_unique.bam,Hub
SS2_15_0170:A14_unique.bam,enteric neu.
SS2_15_0170:A15_unique.bam,Hub
SS2_15_0170:A16_unique.bam,Hub
SS2_15_0170:A19_unique.bam,Hub
SS2_15_0170:A20_unique.bam,Hub
SS2_15_0170:A18_unique.bam,Hub
SS2_15_0170:A17_unique.bam,Hub
SS2_15_0170:A23_unique.bam,Hub
SS2_15_0170:A22_unique.bam,Hub
SS2_15_0170:B2_unique.bam,Hub
SS2_15_0170:B4_unique.bam,Hub
SS2_15_0170:B1_unique.bam,Hub
SS2_15_0170:B3_unique.bam,Hub
SS2_15_0170:A21_unique.bam,Hub
SS2_15_0170:B5_unique.bam,Hub
SS2_15_0170:B6_unique.bam,Hub
SS2_15_0170:A24_unique.bam,Hub
SS2_15_0170:B8_unique.bam,Hub
SS2_15_0170:B10_unique.bam,Hub
SS2_15_0170:B7_unique.bam,Hub
SS2_15_0170:B9_unique.bam,Hub
SS2_15_0170:B11_unique.bam,Hub
SS2_15_0170:B12_unique.bam,Hub
SS2_15_0170:B15_unique.bam,Hub
SS2_15_0170:B14_unique.bam,Hub
SS2_15_0170:B13_unique.bam,Hub
SS2_15_0170:B16_unique.bam,Hub
SS2_15_0170:B17_unique.bam,Hub
SS2_15_0170:B18_unique.bam,Hub
SS2_15_0170:B21_unique.bam,Hub
SS2_15_0170:B22_unique.bam,enteric neu.
SS2_15_0170:B20_unique.bam,enteric neu.
SS2_15_0170:B23_unique.bam,Hub
SS2_15_0170:B24_unique.bam,Hub
SS2_15_0170:C1_unique.bam,Hub
SS2_15_0170:C5_unique.bam,enteric neu.
SS2_15_0170:C6_unique.bam,Hub
SS2_15_0170:C8_unique.bam,Hub
SS2_15_0170:C3_unique.bam,ChC
SS2_15_0170:C11_unique.bam,Hub
SS2_15_0170:C10_unique.bam,Hub
SS2_15_0170:C12_unique.bam,Hub
SS2_15_0170:C15_unique.bam,Hub
SS2_15_0170:C16_unique.bam,enteric neu.
SS2_15_0170:C17_unique.bam,Hub
SS2_15_0170:C13_unique.bam,Hub
SS2_15_0170:C14_unique.bam,Hub
SS2_15_0170:C19_unique.bam,enteric neu.
SS2_15_0170:C20_unique.bam,Hub
SS2_15_0170:C18_unique.bam,Hub
SS2_15_0170:C21_unique.bam,Hub
SS2_15_0170:C22_unique.bam,Hub
SS2_15_0170:D2_unique.bam,enteric neu.
SS2_15_0170:C23_unique.bam,Hub
SS2_15_0170:C24_unique.bam,Hub
SS2_15_0170:D4_unique.bam,Hub
SS2_15_0170:D1_unique.bam,enteric neu.
SS2_15_0170:D3_unique.bam,Hub
SS2_15_0170:D5_unique.bam,Hub
SS2_15_0170:D6_unique.bam,Hub
SS2_15_0170:D8_unique.bam,Hub
SS2_15_0170:D7_unique.bam,Hub
SS2_15_0170:D10_unique.bam,Hub
SS2_15_0170:D11_unique.bam,enteric neu.
SS2_15_0170:D9_unique.bam,enteric neu.
SS2_15_0170:D12_unique.bam,enteric neu.
SS2_15_0170:D14_unique.bam,Hub
SS2_15_0170:D15_unique.bam,Hub
SS2_15_0170:D13_unique.bam,Hub
SS2_15_0170:D18_unique.bam,Hub
SS2_15_0170:D17_unique.bam,Hub
SS2_15_0170:D16_unique.bam,Hub
SS2_15_0170:D20_unique.bam,enteric neu.
SS2_15_0170:D22_unique.bam,enteric neu.
SS2_15_0170:D23_unique.bam,Hub
SS2_15_0170:D21_unique.bam,Hub
SS2_15_0170:D19_unique.bam,Hub
SS2_15_0170:E1_unique.bam,Hub
SS2_15_0170:D24_unique.bam,Hub
SS2_15_0170:E4_unique.bam,Hub
